kernel = poly , degree = 1, gamma = 0.0, coef0 = 1.0, score :  0.810761009766
kernel = poly , degree = 2, gamma = 0.0, coef0 = 1.0, score :  0.820711258522
kernel = poly , degree = 3, gamma = 0.0, coef0 = 1.0, score :  0.828634604754
kernel = poly , degree = 4, gamma = 0.0, coef0 = 1.0, score :  0.833302622689
kernel = poly , degree = 5, gamma = 0.0, coef0 = 1.0, score :  0.83680363614
kernel = poly , degree = 1, gamma = 0.0, coef0 = 5.0, score :  0.810761009766
kernel = poly , degree = 2, gamma = 0.0, coef0 = 5.0, score :  0.823168110067
kernel = poly , degree = 3, gamma = 0.0, coef0 = 5.0, score :  0.839629015417
kernel = poly , degree = 4, gamma = 0.0, coef0 = 5.0, score :  0.846446778453
kernel = poly , degree = 5, gamma = 0.0, coef0 = 5.0, score :  0.848780787421
kernel = poly , degree = 1, gamma = 0.0, coef0 = 10.0, score :  0.810699588477
kernel = poly , degree = 2, gamma = 0.0, coef0 = 10.0, score :  0.82212394816
kernel = poly , degree = 3, gamma = 0.0, coef0 = 10.0, score :  0.842700079848
kernel = poly , degree = 4, gamma = 0.0, coef0 = 10.0, score :  0.848473680978
kernel = poly , degree = 5, gamma = 0.0, coef0 = 10.0, score :  0.84970210675
kernel = poly , degree = 1, gamma = 0.0, coef0 = 100.0, score :  0.810699588477
kernel = poly , degree = 2, gamma = 0.0, coef0 = 100.0, score :  0.820895522388
kernel = poly , degree = 3, gamma = 0.0, coef0 = 100.0, score :  0.847552361649
kernel = poly , degree = 4, gamma = 0.0, coef0 = 100.0, score :  0.844972667527
kernel = poly , degree = 5, gamma = 0.0, coef0 = 100.0, score :  0.846815306185
kernel = poly , degree = 1, gamma = 0.1, coef0 = 1.0, score :  0.811559486518
kernel = poly , degree = 2, gamma = 0.1, coef0 = 1.0, score :  0.825195012591
kernel = poly , degree = 3, gamma = 0.1, coef0 = 1.0, score :  0.833548307843
kernel = poly , degree = 4, gamma = 0.1, coef0 = 1.0, score :  0.838032061913
kernel = poly , degree = 5, gamma = 0.1, coef0 = 1.0, score :  0.840427492169
kernel = poly , degree = 1, gamma = 0.1, coef0 = 5.0, score :  0.811559486518
kernel = poly , degree = 2, gamma = 0.1, coef0 = 5.0, score :  0.828757447331
kernel = poly , degree = 3, gamma = 0.1, coef0 = 5.0, score :  0.842515815982
kernel = poly , degree = 4, gamma = 0.1, coef0 = 5.0, score :  0.847675204226
kernel = poly , degree = 5, gamma = 0.1, coef0 = 5.0, score :  0.848780787421
kernel = poly , degree = 1, gamma = 0.1, coef0 = 10.0, score :  0.811436643941
kernel = poly , degree = 2, gamma = 0.1, coef0 = 10.0, score :  0.8283889196
kernel = poly , degree = 3, gamma = 0.1, coef0 = 10.0, score :  0.84527977397
kernel = poly , degree = 4, gamma = 0.1, coef0 = 10.0, score :  0.848473680978
kernel = poly , degree = 5, gamma = 0.1, coef0 = 10.0, score :  0.848657944844
kernel = poly , degree = 1, gamma = 0.1, coef0 = 100.0, score :  0.811559486518
kernel = poly , degree = 2, gamma = 0.1, coef0 = 100.0, score :  0.827406178982
kernel = poly , degree = 3, gamma = 0.1, coef0 = 100.0, score :  0.848473680978
kernel = poly , degree = 4, gamma = 0.1, coef0 = 100.0, score :  0.847429519071
kernel = poly , degree = 5, gamma = 0.1, coef0 = 100.0, score :  0.847429519071
kernel = poly , degree = 1, gamma = 0.5, coef0 = 1.0, score :  0.814814814815
kernel = poly , degree = 2, gamma = 0.5, coef0 = 1.0, score :  0.844604139795
kernel = poly , degree = 3, gamma = 0.5, coef0 = 1.0, score :  0.848350838401
kernel = poly , degree = 4, gamma = 0.5, coef0 = 1.0, score :  0.848965051287
kernel = poly , degree = 5, gamma = 0.5, coef0 = 1.0, score :  0.848596523555
kernel = poly , degree = 1, gamma = 0.5, coef0 = 5.0, score :  0.814876236103
kernel = poly , degree = 2, gamma = 0.5, coef0 = 5.0, score :  0.844911246238
kernel = poly , degree = 3, gamma = 0.5, coef0 = 5.0, score :  0.848535102266
kernel = poly , degree = 4, gamma = 0.5, coef0 = 5.0, score :  0.848473680978
kernel = poly , degree = 5, gamma = 0.5, coef0 = 5.0, score :  0.846446778453
kernel = poly , degree = 1, gamma = 0.5, coef0 = 10.0, score :  0.814937657392
kernel = poly , degree = 2, gamma = 0.5, coef0 = 10.0, score :  0.844849824949
kernel = poly 
