C = 1, kernel = poly , gamma = 0.0, degree = 2 , train score :  0.818955191794, test score: 0.820711258522
C = 10, kernel = poly , gamma = 0.0, degree = 2 , train score :  0.818955191794, test score: 0.820711258522
C = 50, kernel = poly , gamma = 0.0, degree = 2 , train score :  0.818955191794, test score: 0.820711258522
C = 100, kernel = poly , gamma = 0.0, degree = 2 , train score :  0.818955191794, test score: 0.820711258522
C = 1000, kernel = poly , gamma = 0.0, degree = 2 , train score :  0.818955191794, test score: 0.820711258522
C = 1, kernel = poly , gamma = 0.1, degree = 2 , train score :  0.824882528178, test score: 0.825195012591
C = 10, kernel = poly , gamma = 0.1, degree = 2 , train score :  0.824882528178, test score: 0.825195012591
C = 50, kernel = poly , gamma = 0.1, degree = 2 , train score :  0.824882528178, test score: 0.825195012591
C = 100, kernel = poly , gamma = 0.1, degree = 2 , train score :  0.824882528178, test score: 0.825195012591
C = 1000, kernel = poly , gamma = 0.1, degree = 2 , train score :  0.824882528178, test score: 0.825195012591
C = 1, kernel = poly , gamma = 0.5, degree = 2 , train score :  0.846012100365, test score: 0.844604139795
C = 10, kernel = poly , gamma = 0.5, degree = 2 , train score :  0.846012100365, test score: 0.844604139795
C = 50, kernel = poly , gamma = 0.5, degree = 2 , train score :  0.846012100365, test score: 0.844604139795
C = 100, kernel = poly , gamma = 0.5, degree = 2 , train score :  0.846012100365, test score: 0.844604139795
C = 1000, kernel = poly , gamma = 0.5, degree = 2 , train score :  0.846012100365, test score: 0.844604139795
C = 1, kernel = poly , gamma = 1.0, degree = 2 , train score :  0.847946930377, test score: 0.846815306185
C = 10, kernel = poly , gamma = 1.0, degree = 2 , train score :  0.847946930377, test score: 0.846815306185
C = 50, kernel = poly , gamma = 1.0, degree = 2 , train score :  0.847946930377, test score: 0.846815306185
C = 100, kernel = poly , gamma = 1.0, degree = 2 , train score :  0.847946930377, test score: 0.846815306185
C = 1000, kernel = poly , gamma = 1.0, degree = 2 , train score :  0.847946930377, test score: 0.846815306185
