0,8480.97308422,-4025.90073684,6484.93309969
1,8482.3803882,-4000.06430832,6488.56146458
2,8492.09552713,-3929.71693907,6506.83863135
3,8497.2700046,-3812.21837471,6547.12534007
4,8502.85097755,-3614.24092041,6613.60955456
5,8526.02945405,-3218.5843119,6687.01797039
6,8514.67822826,-2840.21404914,6832.33131969
7,8505.23464899,-2293.64106103,7041.12591271
8,8529.10589053,-1972.80681179,6495.53922074
9,8565.87924753,-1597.40156638,6002.79331723
10,8617.014152,-1186.37095379,5481.92213562
11,8619.1704993,-592.805042108,4714.43039189
12,8903.07211966,520.732040521,3068.56451269
13,9028.58742273,1503.05169627,1390.39758303
14,9138.85653774,2474.50861705,-644.905685068
15,9028.31695374,3279.11278121,-2601.21460962
16,8621.63667096,3951.68109305,-4214.37812149
17,7923.84815777,4203.45577363,-5304.78088805
18,7102.9648243,4314.89509017,-6114.04849181
19,6162.68480525,4251.61222597,-6760.32449948
20,5169.23598018,4140.55123221,-7233.83423777
21,3997.15779264,3897.56980074,-7648.98032002
22,2852.5119288,3739.07826652,-8281.40847032
23,1658.24240155,3559.57249523,-8848.87905314
24,439.046786068,3339.02033127,-9208.64808176
25,-784.126742974,3040.1962191,-9355.66696747
26,-1943.67708043,2688.35792652,-9434.72913971
27,-3072.63521001,2249.25328582,-9493.68992911
28,-4189.67287839,1679.49848699,-9369.51823641
29,-5244.71665717,1078.72775071,-9195.04909159
30,-6234.5807588,318.51856554,-8975.26859695
31,-7196.43256162,-497.163133062,-8787.1103522
32,-8192.52119113,-1286.27867194,-8587.88595465
33,-9113.44570387,-2034.62418172,-8201.75092015
34,-9817.00881545,-2928.04240148,-7498.71157229
35,-10319.645727,-3922.89020736,-6329.82231454
36,-10669.6092152,-5049.46035647,-5075.37234451
37,-10897.9109518,-5999.45552556,-3586.58909181
38,-10917.4162763,-6935.37288166,-1809.64822456
39,-10820.2743976,-7749.29424419,56.6344593594
40,-10707.2725878,-8449.4637179,1779.26689866
41,-10490.7823643,-9056.76399677,3463.35178712
42,-10222.2208549,-9589.27941016,4883.98802995
